===== 实验七：HybridNLParser三模式对比 =====

--- 7.1 三模式总体对比 ---
Mode,Intent Acc(%),Overall Acc(%),Avg Latency(ms),LLM Trigger Rate(%)
Rule Only,61.2,61.2,<1,0
Hybrid,90.6,82.8,457.8,47.8
LLM Only,98.0,84.0,798,100

--- 7.2 Hybrid按变体分析 ---
Variant,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Only Intent(%),LLM Only Overall(%),Hybrid LLM Rate(%)
STANDARD,79.2,79.2,94.4,94.4,100.0,100.0,23.2
COLLOQUIAL,20.0,20.0,80.8,60.0,96.0,80.0,100.0
ABBREVIATED,73.6,73.6,96.0,86.4,100.0,64.0,31.2
NOISY,72.0,72.0,91.2,90.4,96.0,92.0,36.8

--- 7.3 Hybrid按类别分析 ---
Category,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Trigger Count,LLM Trigger Rate(%)
QUERY,99.0,99.0,96.0,88.0,49,49.0
CREATE,43.0,43.0,90.0,81.0,57,57.0
UPDATE,64.0,64.0,98.0,90.0,36,36.0
DELETE,38.0,38.0,88.0,77.0,62,62.0
STATISTICS,62.0,62.0,81.0,78.0,35,35.0

--- 7.4 Hybrid逐条详情 ---
序号,类别,变体,输入,期望意图,实际意图,意图OK,来源,置信度,延迟(ms)
14,QUERY,STANDARD,"显示耗材CS-2024-005的当前库存",QUERY,QUERY,true,LLM,0.95,785
15,QUERY,STANDARD,"查询耗材CS-2024-006的规格参数",QUERY,QUERY,true,RULE,0.80,0
16,QUERY,STANDARD,"查找耗材CS-2024-007的生产批次",QUERY,QUERY,true,RULE,0.80,0
17,QUERY,STANDARD,"获取耗材CS-2024-008的入库时间",QUERY,QUERY,true,RULE,0.80,0
18,QUERY,STANDARD,"查询巡检记录IN-2024-001的检查内容",QUERY,QUERY,true,RULE,0.80,0
19,QUERY,STANDARD,"查找巡检记录IN-2024-002的巡检结果",QUERY,QUERY,true,RULE,0.80,0
20,QUERY,STANDARD,"获取巡检记录IN-2024-003的详细信息",QUERY,QUERY,true,RULE,0.80,0
21,QUERY,STANDARD,"查看巡检记录IN-2024-004的检查项目",QUERY,QUERY,true,RULE,0.80,0
22,QUERY,STANDARD,"显示巡检记录IN-2024-005的问题清单",QUERY,QUERY,true,LLM,0.95,1004
23,QUERY,STANDARD,"查询巡检记录IN-2024-006的完成情况",QUERY,QUERY,true,RULE,0.80,0
24,QUERY,STANDARD,"查找巡检记录IN-2024-007的异常条目",QUERY,QUERY,true,RULE,0.80,0
25,QUERY,STANDARD,"获取巡检记录IN-2024-008的签字信息",QUERY,QUERY,true,RULE,0.80,0
26,QUERY,COLLOQUIAL,"EQ-2024-010现在怎么样了",QUERY,QUERY,true,LLM,0.95,781
27,QUERY,COLLOQUIAL,"EQ-2024-011最近运转正常吗",QUERY,QUERY,true,LLM,0.95,744
28,QUERY,COLLOQUIAL,"EQ-2024-012的维护记录在哪里",QUERY,QUERY,true,LLM,0.95,956
29,QUERY,COLLOQUIAL,"EQ-2024-013啥时候安装上去的",QUERY,QUERY,true,LLM,0.95,892
30,QUERY,COLLOQUIAL,"EQ-2024-014现在谁负责管理",QUERY,QUERY,true,LLM,0.95,675
31,QUERY,COLLOQUIAL,"EQ-2024-015出过故障没",QUERY,QUERY,true,LLM,0.95,926
32,QUERY,COLLOQUIAL,"EQ-2024-016已经连续运行多久了",QUERY,QUERY,true,LLM,0.95,608
33,QUERY,COLLOQUIAL,"EQ-2024-017目前的健康状态如何",QUERY,QUERY,true,LLM,0.95,555
34,QUERY,COLLOQUIAL,"EQ-2024-018到了该保养的时候了吗",QUERY,QUERY,true,LLM,0.95,733
35,QUERY,COLLOQUIAL,"CS-2024-009现在还剩多少库存",QUERY,QUERY,true,LLM,0.95,802
36,QUERY,COLLOQUIAL,"CS-2024-010仓库里还有货吗",QUERY,QUERY,true,LLM,0.95,774
37,QUERY,COLLOQUIAL,"CS-2024-011是不是快用完了",QUERY,QUERY,true,LLM,0.95,758
38,QUERY,COLLOQUIAL,"CS-2024-012上次什么时候进的货",QUERY,QUERY,true,LLM,0.95,1098
39,QUERY,COLLOQUIAL,"CS-2024-013批次号告诉我一下",QUERY,QUERY,true,LLM,0.95,801
40,QUERY,COLLOQUIAL,"CS-2024-014用得怎么样了现在",QUERY,QUERY,true,LLM,0.95,744
41,QUERY,COLLOQUIAL,"CS-2024-015这个规格是多少来着",QUERY,QUERY,true,LLM,0.95,743
42,QUERY,COLLOQUIAL,"CS-2024-016已经入库登记了吗",QUERY,QUERY,true,LLM,0.95,661
43,QUERY,COLLOQUIAL,"IN-2024-009那次巡检结果怎么样",QUERY,QUERY,true,LLM,0.95,686
44,QUERY,COLLOQUIAL,"IN-2024-010巡检的时候没发现问题吧",QUERY,QUERY,true,LLM,0.95,788
45,QUERY,COLLOQUIAL,"IN-2024-011都检查了哪些项目",QUERY,QUERY,true,LLM,0.95,844
46,QUERY,COLLOQUIAL,"IN-2024-012有没有发现什么异常",QUERY,QUERY,true,LLM,0.95,750
47,QUERY,COLLOQUIAL,"IN-2024-013上次是谁去巡的检",QUERY,QUERY,true,LLM,0.95,935
48,QUERY,COLLOQUIAL,"IN-2024-014那个巡检记录搞完了没有",QUERY,QUERY,true,LLM,0.95,878
49,QUERY,COLLOQUIAL,"IN-2024-015记录放在哪个目录下了",QUERY,QUERY,true,LLM,0.95,821
50,QUERY,COLLOQUIAL,"IN-2024-016异常项多不多",QUERY,STATISTICS,false,LLM,0.95,763
51,QUERY,ABBREVIATED,"查询EQ-2024-019",QUERY,QUERY,true,RULE,0.80,0
52,QUERY,ABBREVIATED,"查找EQ-2024-020",QUERY,QUERY,true,RULE,0.80,0
53,QUERY,ABBREVIATED,"获取EQ-2024-021",QUERY,QUERY,true,RULE,0.80,0
54,QUERY,ABBREVIATED,"看EQ-2024-022",QUERY,QUERY,true,RULE,0.80,0
55,QUERY,ABBREVIATED,"查看EQ-2024-023",QUERY,QUERY,true,RULE,0.80,0
56,QUERY,ABBREVIATED,"查询CS-2024-017",QUERY,QUERY,true,RULE,0.80,0
57,QUERY,ABBREVIATED,"查找CS-2024-018",QUERY,QUERY,true,RULE,0.80,0
58,QUERY,ABBREVIATED,"获取CS-2024-019",QUERY,QUERY,true,RULE,0.80,0
59,QUERY,ABBREVIATED,"看CS-2024-020",QUERY,QUERY,true,RULE,0.80,0
60,QUERY,ABBREVIATED,"查询IN-2024-017",QUERY,QUERY,true,RULE,0.80,0
61,QUERY,ABBREVIATED,"查找IN-2024-018",QUERY,QUERY,true,RULE,0.80,0
62,QUERY,ABBREVIATED,"显示EQ-2024-024",QUERY,QUERY,true,LLM,0.95,763
63,QUERY,ABBREVIATED,"显示CS-2024-021",QUERY,QUERY,true,LLM,0.95,1209
64,QUERY,ABBREVIATED,"显示IN-2024-019",QUERY,QUERY,true,LLM,0.95,782
65,QUERY,ABBREVIATED,"查看CS-2024-022",QUERY,QUERY,true,RULE,0.80,0
66,QUERY,ABBREVIATED,"查看IN-2024-020",QUERY,QUERY,true,RULE,0.80,0
67,QUERY,ABBREVIATED,"查询IN-2024-021",QUERY,QUERY,true,RULE,0.80,0
68,QUERY,ABBREVIATED,"查找EQ-2024-025",QUERY,QUERY,true,RULE,0.80,0
69,QUERY,ABBREVIATED,"获取EQ-2024-025",QUERY,QUERY,true,RULE,0.80,0
70,QUERY,ABBREVIATED,"CS-2024-023信息",QUERY,QUERY,true,LLM,0.95,819
71,QUERY,ABBREVIATED,"EQ-2024-022详情",QUERY,QUERY,true,LLM,0.95,855
72,QUERY,ABBREVIATED,"IN-2024-022详情",QUERY,QUERY,true,LLM,0.95,893
73,QUERY,ABBREVIATED,"看下IN-2024-023",QUERY,QUERY,true,RULE,0.80,0
74,QUERY,ABBREVIATED,"看下CS-2024-024",QUERY,QUERY,true,RULE,0.80,0
75,QUERY,ABBREVIATED,"看下EQ-2024-024",QUERY,QUERY,true,RULE,0.80,0
76,QUERY,NOISY,"麻烦帮我查询一下设备EQ-2024-023目前的状态怎么样",QUERY,QUERY,true,RULE,0.80,0
77,QUERY,NOISY,"我想了解一下设备EQ-2024-024的运行参数有没有异常",QUERY,QUERY,true,LLM,0.95,790
78,QUERY,NOISY,"那个设备EQ-2024-025的维护记录能不能帮忙看看",QUERY,QUERY,true,RULE,0.80,0
79,QUERY,NOISY,"帮我查查设备EQ-2024-021最近的故障记录了谢谢",QUERY,QUERY,true,LLM,0.95,950
80,QUERY,NOISY,"你们那边能不能看到设备EQ-2024-022现在的温度读数",QUERY,QUERY,true,RULE,0.80,0
81,QUERY,NOISY,"方便的时候帮我查一下设备EQ-2024-020是什么时候安装的",QUERY,QUERY,true,LLM,0.95,787
82,QUERY,NOISY,"请帮我看一下设备EQ-2024-019目前是谁在负责管理的",QUERY,QUERY,true,RULE,0.80,0
83,QUERY,NOISY,"那个设备EQ-2024-018的保养日志在哪里能找到",QUERY,QUERY,true,LLM,0.95,11822
84,QUERY,NOISY,"帮我查查设备EQ-2024-017已经运行了多长时间了",QUERY,QUERY,true,LLM,0.95,1057
85,QUERY,NOISY,"你好麻烦查询一下耗材CS-2024-017现在的库存还剩多少",QUERY,QUERY,true,RULE,0.80,0
86,QUERY,NOISY,"我想知道耗材CS-2024-018最近的使用记录情况",QUERY,QUERY,true,LLM,0.95,747
87,QUERY,NOISY,"帮忙看看耗材CS-2024-019的进货信息是在哪里记录的",QUERY,QUERY,true,RULE,0.80,0
88,QUERY,NOISY,"那个耗材CS-2024-020最近的消耗趋势帮我分析一下",QUERY,STATISTICS,false,LLM,0.95,741
89,QUERY,NOISY,"请问CS-2024-021这个耗材目前的库存数量还有多少",QUERY,STATISTICS,false,RULE,0.80,0
90,QUERY,NOISY,"麻烦查一下耗材CS-2024-022的规格参数明细",QUERY,QUERY,true,LLM,0.95,945
91,QUERY,NOISY,"那个耗材CS-2024-023的生产批次号能查到吗",QUERY,QUERY,true,LLM,0.95,750
92,QUERY,NOISY,"帮我看一眼耗材CS-2024-024是什么时候入库的",QUERY,QUERY,true,RULE,0.80,0
93,QUERY,NOISY,"可以帮我看一下巡检记录IN-2024-017的检查内容吗",QUERY,QUERY,true,RULE,0.80,0
94,QUERY,NOISY,"系统里的巡检记录IN-2024-018结果帮我调出来",QUERY,QUERY,true,LLM,0.95,821
95,QUERY,NOISY,"麻烦把巡检记录IN-2024-019的详细信息给我看看",QUERY,QUERY,true,RULE,0.80,0
96,QUERY,NOISY,"IN-2024-020那个巡检记录里都检查了哪些项目",QUERY,QUERY,true,LLM,0.95,759
97,QUERY,NOISY,"巡检记录IN-2024-021里面提到的问题清单发我一下",QUERY,QUERY,true,LLM,0.95,1002
98,QUERY,NOISY,"对了巡检记录IN-2024-022的完成情况帮我也查一下",QUERY,QUERY,true,LLM,0.95,716
99,QUERY,NOISY,"巡检记录IN-2024-023里面有没有异常条目帮忙确认一下",QUERY,QUERY,true,LLM,0.95,786
100,QUERY,NOISY,"那个IN-2024-024的巡检签字信息在哪个页面能查到",QUERY,QUERY,true,LLM,0.95,709
101,CREATE,STANDARD,"新增设备EQ-2024-026到系统",CREATE,CREATE,true,RULE,0.80,0
102,CREATE,STANDARD,"创建新设备EQ-2024-027的档案",CREATE,CREATE,true,RULE,0.80,0
103,CREATE,STANDARD,"添加设备EQ-2024-028进入资产清单",CREATE,CREATE,true,RULE,0.80,0
104,CREATE,STANDARD,"录入设备EQ-2024-029的基本信息",CREATE,CREATE,true,LLM,0.95,759
105,CREATE,STANDARD,"注册设备EQ-2024-030的台账记录",CREATE,CREATE,true,LLM,0.95,1107
106,CREATE,STANDARD,"新增设备EQ-2024-031并填写参数",CREATE,CREATE,true,RULE,0.80,0
107,CREATE,STANDARD,"创建设备EQ-2024-032的维护计划",CREATE,CREATE,true,RULE,0.80,0
108,CREATE,STANDARD,"录入新到设备EQ-2024-033的资料",CREATE,CREATE,true,LLM,0.95,922
109,CREATE,STANDARD,"添加设备EQ-2024-034到巡检计划中",CREATE,CREATE,true,RULE,0.80,0
110,CREATE,STANDARD,"新增耗材CS-2024-026的入库单",CREATE,CREATE,true,RULE,0.80,0
111,CREATE,STANDARD,"创建耗材CS-2024-027的库存档案",CREATE,CREATE,true,RULE,0.80,0
112,CREATE,STANDARD,"添加耗材CS-2024-028到物料清单",CREATE,CREATE,true,RULE,0.80,0
113,CREATE,STANDARD,"录入耗材CS-2024-029的规格信息",CREATE,CREATE,true,LLM,0.95,777
114,CREATE,STANDARD,"注册耗材CS-2024-030的批次记录",CREATE,CREATE,true,LLM,0.95,808
115,CREATE,STANDARD,"新增耗材CS-2024-031的采购订单",CREATE,CREATE,true,RULE,0.80,0
116,CREATE,STANDARD,"创建耗材CS-2024-032的入库登记",CREATE,CREATE,true,RULE,0.80,0
117,CREATE,STANDARD,"录入耗材CS-2024-033的质检报告",CREATE,CREATE,true,LLM,0.95,1111
118,CREATE,STANDARD,"创建巡检记录IN-2024-025",CREATE,CREATE,true,RULE,0.80,0
119,CREATE,STANDARD,"新增巡检记录IN-2024-026",CREATE,CREATE,true,RULE,0.80,0
120,CREATE,STANDARD,"添加巡检记录IN-2024-027",CREATE,CREATE,true,RULE,0.80,0
121,CREATE,STANDARD,"录入巡检记录IN-2024-028的结果",CREATE,CREATE,true,LLM,0.95,782
122,CREATE,STANDARD,"注册巡检记录IN-2024-029到系统",CREATE,CREATE,true,LLM,0.95,730
123,CREATE,STANDARD,"创建巡检记录IN-2024-030并填入检查项",CREATE,CREATE,true,RULE,0.80,0
124,CREATE,STANDARD,"新增巡检记录IN-2024-031的问题报告",CREATE,CREATE,true,RULE,0.80,0
125,CREATE,STANDARD,"录入巡检记录IN-2024-032的异常信息",CREATE,UPDATE,false,LLM,0.95,819
126,CREATE,COLLOQUIAL,"加一台设备EQ-2024-035进去",CREATE,CREATE,true,LLM,0.95,639
127,CREATE,COLLOQUIAL,"新来了个EQ-2024-036登记一下",CREATE,CREATE,true,LLM,0.95,531
128,CREATE,COLLOQUIAL,"EQ-2024-037这个设备建个档案",CREATE,CREATE,true,LLM,0.95,868
129,CREATE,COLLOQUIAL,"把EQ-2024-038录进资产清单里",CREATE,CREATE,true,LLM,0.95,750
130,CREATE,COLLOQUIAL,"EQ-2024-039刚到货登记上",CREATE,CREATE,true,LLM,0.95,765
131,CREATE,COLLOQUIAL,"这台EQ-2024-040参数填一下",CREATE,UPDATE,false,LLM,0.95,781
132,CREATE,COLLOQUIAL,"EQ-2024-041的维护计划要有",CREATE,QUERY,false,LLM,0.95,793
133,CREATE,COLLOQUIAL,"补录一个设备EQ-2024-042",CREATE,CREATE,true,LLM,0.95,757
134,CREATE,COLLOQUIAL,"EQ-2024-043新设备报到",CREATE,CREATE,true,LLM,0.95,1267
135,CREATE,COLLOQUIAL,"进了一批耗材CS-2024-034入库",CREATE,CREATE,true,LLM,0.95,897
136,CREATE,COLLOQUIAL,"CS-2024-035这个物料建档一下",CREATE,CREATE,true,LLM,0.95,958
137,CREATE,COLLOQUIAL,"加一个CS-2024-036到清单",CREATE,CREATE,true,LLM,0.95,686
138,CREATE,COLLOQUIAL,"CS-2024-037的规格补上",CREATE,UPDATE,false,LLM,0.95,770
139,CREATE,COLLOQUIAL,"新耗材CS-2024-038登记入库",CREATE,CREATE,true,LLM,0.95,783
140,CREATE,COLLOQUIAL,"CS-2024-039采购到了先登记",CREATE,CREATE,true,LLM,0.95,755
141,CREATE,COLLOQUIAL,"CS-2024-040物料来了录入系统",CREATE,CREATE,true,LLM,0.95,823
142,CREATE,COLLOQUIAL,"把CS-2024-041质检登进去",CREATE,CREATE,true,LLM,0.95,11958
143,CREATE,COLLOQUIAL,"IN-2024-033巡检完了写进去",CREATE,UPDATE,false,LLM,0.95,1316
144,CREATE,COLLOQUIAL,"建一条巡检记录IN-2024-034",CREATE,CREATE,true,LLM,0.95,845
145,CREATE,COLLOQUIAL,"IN-2024-035的结果记上",CREATE,UPDATE,false,LLM,0.95,729
146,CREATE,COLLOQUIAL,"这次巡检IN-2024-036录入一下",CREATE,CREATE,true,LLM,0.95,677
147,CREATE,COLLOQUIAL,"IN-2024-037的记录要补上",CREATE,UPDATE,false,LLM,0.95,720
148,CREATE,COLLOQUIAL,"IN-2024-038检查项填进去",CREATE,UPDATE,false,LLM,0.95,767
149,CREATE,COLLOQUIAL,"IN-2024-039出问题了记得写报告",CREATE,UPDATE,false,LLM,0.95,779
150,CREATE,COLLOQUIAL,"IN-2024-040异常登记一下",CREATE,CREATE,true,LLM,0.95,787
151,CREATE,ABBREVIATED,"新增EQ-2024-044",CREATE,CREATE,true,RULE,0.80,0
152,CREATE,ABBREVIATED,"添加EQ-2024-045",CREATE,CREATE,true,RULE,0.80,0
153,CREATE,ABBREVIATED,"录入EQ-2024-046",CREATE,CREATE,true,LLM,0.95,695
154,CREATE,ABBREVIATED,"创建EQ-2024-047",CREATE,CREATE,true,RULE,0.80,0
155,CREATE,ABBREVIATED,"注册EQ-2024-048",CREATE,CREATE,true,LLM,0.95,671
156,CREATE,ABBREVIATED,"新建EQ-2024-049",CREATE,CREATE,true,LLM,0.95,654
157,CREATE,ABBREVIATED,"新增CS-2024-042",CREATE,CREATE,true,RULE,0.80,0
158,CREATE,ABBREVIATED,"添加CS-2024-043",CREATE,CREATE,true,RULE,0.80,0
159,CREATE,ABBREVIATED,"录入CS-2024-044",CREATE,CREATE,true,LLM,0.95,862
160,CREATE,ABBREVIATED,"创建CS-2024-045",CREATE,CREATE,true,RULE,0.80,0
161,CREATE,ABBREVIATED,"注册CS-2024-046",CREATE,CREATE,true,LLM,0.95,925
162,CREATE,ABBREVIATED,"新建CS-2024-047",CREATE,CREATE,true,LLM,0.95,789
163,CREATE,ABBREVIATED,"录入IN-2024-041",CREATE,CREATE,true,LLM,0.95,628
164,CREATE,ABBREVIATED,"创建IN-2024-042",CREATE,CREATE,true,RULE,0.80,0
165,CREATE,ABBREVIATED,"新增IN-2024-043",CREATE,CREATE,true,RULE,0.80,0
166,CREATE,ABBREVIATED,"添加IN-2024-044",CREATE,CREATE,true,RULE,0.80,0
167,CREATE,ABBREVIATED,"建立EQ-2024-050档案",CREATE,CREATE,true,LLM,0.95,754
168,CREATE,ABBREVIATED,"建立CS-2024-048档案",CREATE,CREATE,true,LLM,0.95,851
169,CREATE,ABBREVIATED,"建立IN-2024-045档案",CREATE,CREATE,true,LLM,0.95,1009
170,CREATE,ABBREVIATED,"新建EQ-2024-048档案",CREATE,CREATE,true,LLM,0.95,1019
171,CREATE,ABBREVIATED,"新建CS-2024-049档案",CREATE,CREATE,true,LLM,0.95,1019
172,CREATE,ABBREVIATED,"新建IN-2024-046档案",CREATE,CREATE,true,LLM,0.95,817
173,CREATE,ABBREVIATED,"新增EQ-2024-050记录",CREATE,CREATE,true,RULE,0.80,0
174,CREATE,ABBREVIATED,"新增CS-2024-050",CREATE,CREATE,true,RULE,0.80,0
175,CREATE,ABBREVIATED,"新增IN-2024-047",CREATE,CREATE,true,RULE,0.80,0
176,CREATE,NOISY,"我们需要在系统里新增一台设备EQ-2024-051登记一下",CREATE,CREATE,true,RULE,0.80,0
177,CREATE,NOISY,"麻烦帮忙创建一下新设备EQ-2024-052的档案信息",CREATE,CREATE,true,RULE,0.80,0
178,CREATE,NOISY,"刚到的设备EQ-2024-053需要添加到资产清单里去",CREATE,CREATE,true,RULE,0.80,0
179,CREATE,NOISY,"请把设备EQ-2024-054的基本信息录入到系统中",CREATE,CREATE,true,LLM,0.95,787
180,CREATE,NOISY,"那个新买的设备EQ-2024-055注册一下台账记录",CREATE,CREATE,true,LLM,0.95,748
181,CREATE,NOISY,"顺便把设备EQ-2024-056的参数也填进去吧",CREATE,UPDATE,false,LLM,0.95,838
182,CREATE,NOISY,"设备EQ-2024-057要建立维护计划帮忙创建一下",CREATE,CREATE,true,RULE,0.80,0
183,CREATE,NOISY,"新到的设备EQ-2024-058需要录入资料谢谢",CREATE,CREATE,true,LLM,0.95,726
184,CREATE,NOISY,"帮我添加设备EQ-2024-059到巡检计划里面",CREATE,CREATE,true,RULE,0.80,0
185,CREATE,NOISY,"刚采购的耗材CS-2024-051需要新增入库单",CREATE,CREATE,true,RULE,0.80,0
186,CREATE,NOISY,"麻烦创建一下耗材CS-2024-052的库存档案信息",CREATE,CREATE,true,RULE,0.80,0
187,CREATE,NOISY,"新到的耗材CS-2024-053帮我添加到物料清单里",CREATE,CREATE,true,RULE,0.80,0
188,CREATE,NOISY,"需要把耗材CS-2024-054的规格信息录入系统",CREATE,CREATE,true,LLM,0.95,968
189,CREATE,NOISY,"请注册耗材CS-2024-055的批次记录到数据库",CREATE,CREATE,true,LLM,0.95,884
190,CREATE,NOISY,"耗材CS-2024-056的采购订单帮我新增一下",CREATE,CREATE,true,RULE,0.80,0
191,CREATE,NOISY,"把耗材CS-2024-057的入库登记给创建一下吧",CREATE,CREATE,true,RULE,0.80,0
192,CREATE,NOISY,"那个耗材CS-2024-058质检报告需要录入到系统里",CREATE,CREATE,true,LLM,0.95,704
193,CREATE,NOISY,"巡检完了要创建一条巡检记录IN-2024-048记录一下",CREATE,CREATE,true,RULE,0.80,0
194,CREATE,NOISY,"麻烦新增巡检记录IN-2024-049把结果填进去",CREATE,CREATE,true,RULE,0.80,0
195,CREATE,NOISY,"请添加巡检记录IN-2024-050这次的检查情况",CREATE,CREATE,true,RULE,0.80,0
196,CREATE,NOISY,"帮我把巡检记录IN-2024-051的结果录入一下谢谢",CREATE,CREATE,true,LLM,0.95,833
197,CREATE,NOISY,"新的巡检记录IN-2024-052需要注册到系统里面",CREATE,CREATE,true,LLM,0.95,1012
198,CREATE,NOISY,"创建巡检记录IN-2024-053并填入所有检查项",CREATE,CREATE,true,RULE,0.80,0
199,CREATE,NOISY,"这次巡检IN-2024-054的问题报告需要新增一条",CREATE,CREATE,true,RULE,0.80,0
200,CREATE,NOISY,"IN-2024-055的巡检异常信息也要录入进去",CREATE,CREATE,true,LLM,0.95,814
201,UPDATE,STANDARD,"修改设备EQ-2024-051的维护周期",UPDATE,UPDATE,true,RULE,0.80,0
202,UPDATE,STANDARD,"更新设备EQ-2024-052的运行参数",UPDATE,UPDATE,true,RULE,0.80,0
203,UPDATE,STANDARD,"变更设备EQ-2024-053的负责人",UPDATE,UPDATE,true,RULE,0.80,0
204,UPDATE,STANDARD,"调整设备EQ-2024-054的保养计划",UPDATE,UPDATE,true,LLM,0.95,835
205,UPDATE,STANDARD,"编辑设备EQ-2024-055的台账信息",UPDATE,UPDATE,true,RULE,0.80,0
206,UPDATE,STANDARD,"修改设备EQ-2024-056的使用状态",UPDATE,UPDATE,true,RULE,0.80,0
207,UPDATE,STANDARD,"更新设备EQ-2024-057的安装位置",UPDATE,UPDATE,true,RULE,0.80,0
208,UPDATE,STANDARD,"变更设备EQ-2024-058的运行模式",UPDATE,UPDATE,true,RULE,0.80,0
209,UPDATE,STANDARD,"调整设备EQ-2024-059的温度阈值",UPDATE,UPDATE,true,LLM,0.95,780
210,UPDATE,STANDARD,"修改耗材CS-2024-059的库存数量",UPDATE,STATISTICS,false,RULE,1.00,0
211,UPDATE,STANDARD,"更新耗材CS-2024-060的规格参数",UPDATE,UPDATE,true,RULE,0.80,0
212,UPDATE,STANDARD,"变更耗材CS-2024-061的安全库存",UPDATE,UPDATE,true,RULE,0.80,0
213,UPDATE,STANDARD,"调整耗材CS-2024-062的采购价格",UPDATE,UPDATE,true,LLM,0.95,923
214,UPDATE,STANDARD,"编辑耗材CS-2024-063的供应商信息",UPDATE,UPDATE,true,RULE,0.80,0
215,UPDATE,STANDARD,"修改耗材CS-2024-064的批次状态",UPDATE,UPDATE,true,RULE,0.80,0
216,UPDATE,STANDARD,"更新耗材CS-2024-065的质检结论",UPDATE,UPDATE,true,RULE,0.80,0
217,UPDATE,STANDARD,"变更耗材CS-2024-066的存储条件",UPDATE,UPDATE,true,RULE,0.80,0
218,UPDATE,STANDARD,"修改巡检记录IN-2024-056的状态",UPDATE,UPDATE,true,RULE,0.80,0
219,UPDATE,STANDARD,"更新巡检记录IN-2024-057的结果",UPDATE,UPDATE,true,RULE,0.80,0
220,UPDATE,STANDARD,"变更巡检记录IN-2024-058的检查人",UPDATE,UPDATE,true,RULE,0.80,0
221,UPDATE,STANDARD,"调整巡检记录IN-2024-059的巡检日期",UPDATE,UPDATE,true,LLM,0.95,806
222,UPDATE,STANDARD,"编辑巡检记录IN-2024-060的问题描述",UPDATE,UPDATE,true,RULE,0.80,0
223,UPDATE,STANDARD,"修改巡检记录IN-2024-061的整改措施",UPDATE,UPDATE,true,RULE,0.80,0
224,UPDATE,STANDARD,"更新巡检记录IN-2024-062的复查结果",UPDATE,UPDATE,true,RULE,0.80,0
225,UPDATE,STANDARD,"变更巡检记录IN-2024-063的严重等级",UPDATE,UPDATE,true,RULE,0.80,0
226,UPDATE,COLLOQUIAL,"把EQ-2024-060的维护周期改一下",UPDATE,UPDATE,true,LLM,0.95,656
