===== 实验一：NL解析准确率 =====

--- 1.1 意图识别 5x5 混淆矩阵 ---
实际\预测,QUERY,CREATE,UPDATE,DELETE,STATISTICS
QUERY,98,0,0,0,2
CREATE,57,43,0,0,0
UPDATE,36,0,62,0,2
DELETE,62,0,0,38,0
STATISTICS,37,0,0,0,63

--- 1.2 实体类型识别 5x5 混淆矩阵 ---
实际\预测,EQUIPMENT,CONSUMABLE,INSPECTION,NULL
EQUIPMENT,180,0,0,0
CONSUMABLE,0,159,0,0
INSPECTION,0,0,161,0
NULL,0,0,0,0

--- 1.3 分类准确率汇总 ---
类别,样本数,意图准确率(%),实体类型准确率(%),实体ID准确率(%),综合准确率(%)
QUERY,100,98.0,100.0,100.0,98.0
CREATE,100,43.0,100.0,100.0,43.0
UPDATE,100,62.0,100.0,100.0,62.0
DELETE,100,38.0,100.0,100.0,38.0
STATISTICS,100,63.0,100.0,100.0,63.0
总体,500,60.8,100.0,100.0,60.8

--- 1.4 变体准确率对比 ---
变体,样本数,意图准确率(%),实体类型准确率(%),实体ID准确率(%),综合准确率(%)
STANDARD,125,77.6,100.0,100.0,77.6
COLLOQUIAL,125,20.0,100.0,100.0,20.0
ABBREVIATED,125,73.6,100.0,100.0,73.6
NOISY,125,72.0,100.0,100.0,72.0

--- 1.5 逐条测试结果详情 ---
类别,变体,输入文本,期望意图,实际意图,意图匹配,期望实体类型,实际实体类型,类型匹配,期望实体ID,实际实体ID,ID匹配
QUERY,STANDARD,"查询巡检记录IN-2024-001的检查内容",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-001,IN-2024-001,true
QUERY,STANDARD,"查找巡检记录IN-2024-002的巡检结果",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-002,IN-2024-002,true
QUERY,STANDARD,"获取巡检记录IN-2024-003的详细信息",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-003,IN-2024-003,true
QUERY,STANDARD,"查看巡检记录IN-2024-004的检查项目",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-004,IN-2024-004,true
QUERY,STANDARD,"显示巡检记录IN-2024-005的问题清单",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-005,IN-2024-005,true
QUERY,STANDARD,"查询巡检记录IN-2024-006的完成情况",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-006,IN-2024-006,true
QUERY,STANDARD,"查找巡检记录IN-2024-007的异常条目",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-007,IN-2024-007,true
QUERY,STANDARD,"获取巡检记录IN-2024-008的签字信息",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-008,IN-2024-008,true
QUERY,COLLOQUIAL,"EQ-2024-010现在怎么样了",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-010,EQ-2024-010,true
QUERY,COLLOQUIAL,"EQ-2024-011最近运转正常吗",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-011,EQ-2024-011,true
QUERY,COLLOQUIAL,"EQ-2024-012的维护记录在哪里",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-012,EQ-2024-012,true
QUERY,COLLOQUIAL,"EQ-2024-013啥时候安装上去的",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-013,EQ-2024-013,true
QUERY,COLLOQUIAL,"EQ-2024-014现在谁负责管理",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-014,EQ-2024-014,true
QUERY,COLLOQUIAL,"EQ-2024-015出过故障没",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-015,EQ-2024-015,true
QUERY,COLLOQUIAL,"EQ-2024-016已经连续运行多久了",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-016,EQ-2024-016,true
QUERY,COLLOQUIAL,"EQ-2024-017目前的健康状态如何",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-017,EQ-2024-017,true
QUERY,COLLOQUIAL,"EQ-2024-018到了该保养的时候了吗",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-018,EQ-2024-018,true
QUERY,COLLOQUIAL,"CS-2024-009现在还剩多少库存",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-009,CS-2024-009,true
QUERY,COLLOQUIAL,"CS-2024-010仓库里还有货吗",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-010,CS-2024-010,true
QUERY,COLLOQUIAL,"CS-2024-011是不是快用完了",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-011,CS-2024-011,true
QUERY,COLLOQUIAL,"CS-2024-012上次什么时候进的货",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-012,CS-2024-012,true
QUERY,COLLOQUIAL,"CS-2024-013批次号告诉我一下",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-013,CS-2024-013,true
QUERY,COLLOQUIAL,"CS-2024-014用得怎么样了现在",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-014,CS-2024-014,true
QUERY,COLLOQUIAL,"CS-2024-015这个规格是多少来着",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-015,CS-2024-015,true
QUERY,COLLOQUIAL,"CS-2024-016已经入库登记了吗",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-016,CS-2024-016,true
QUERY,COLLOQUIAL,"IN-2024-009那次巡检结果怎么样",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-009,IN-2024-009,true
QUERY,COLLOQUIAL,"IN-2024-010巡检的时候没发现问题吧",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-010,IN-2024-010,true
QUERY,COLLOQUIAL,"IN-2024-011都检查了哪些项目",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-011,IN-2024-011,true
QUERY,COLLOQUIAL,"IN-2024-012有没有发现什么异常",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-012,IN-2024-012,true
QUERY,COLLOQUIAL,"IN-2024-013上次是谁去巡的检",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-013,IN-2024-013,true
QUERY,COLLOQUIAL,"IN-2024-014那个巡检记录搞完了没有",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-014,IN-2024-014,true
QUERY,COLLOQUIAL,"IN-2024-015记录放在哪个目录下了",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-015,IN-2024-015,true
QUERY,COLLOQUIAL,"IN-2024-016异常项多不多",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-016,IN-2024-016,true
QUERY,ABBREVIATED,"查询EQ-2024-019",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-019,EQ-2024-019,true
QUERY,ABBREVIATED,"查找EQ-2024-020",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-020,EQ-2024-020,true
QUERY,ABBREVIATED,"获取EQ-2024-021",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-021,EQ-2024-021,true
QUERY,ABBREVIATED,"看EQ-2024-022",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-022,EQ-2024-022,true
QUERY,ABBREVIATED,"查看EQ-2024-023",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-023,EQ-2024-023,true
QUERY,ABBREVIATED,"查询CS-2024-017",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-017,CS-2024-017,true
QUERY,ABBREVIATED,"查找CS-2024-018",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-018,CS-2024-018,true
QUERY,ABBREVIATED,"获取CS-2024-019",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-019,CS-2024-019,true
QUERY,ABBREVIATED,"看CS-2024-020",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-020,CS-2024-020,true
QUERY,ABBREVIATED,"查询IN-2024-017",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-017,IN-2024-017,true
QUERY,ABBREVIATED,"查找IN-2024-018",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-018,IN-2024-018,true
QUERY,ABBREVIATED,"显示EQ-2024-024",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-024,EQ-2024-024,true
QUERY,ABBREVIATED,"显示CS-2024-021",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-021,CS-2024-021,true
QUERY,ABBREVIATED,"显示IN-2024-019",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-019,IN-2024-019,true
QUERY,ABBREVIATED,"查看CS-2024-022",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-022,CS-2024-022,true
QUERY,ABBREVIATED,"查看IN-2024-020",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-020,IN-2024-020,true
QUERY,ABBREVIATED,"查询IN-2024-021",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-021,IN-2024-021,true
QUERY,ABBREVIATED,"查找EQ-2024-025",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-025,EQ-2024-025,true
QUERY,ABBREVIATED,"获取EQ-2024-025",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-025,EQ-2024-025,true
QUERY,ABBREVIATED,"CS-2024-023信息",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-023,CS-2024-023,true
QUERY,ABBREVIATED,"EQ-2024-022详情",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-022,EQ-2024-022,true
QUERY,ABBREVIATED,"IN-2024-022详情",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-022,IN-2024-022,true
QUERY,ABBREVIATED,"看下IN-2024-023",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-023,IN-2024-023,true
QUERY,ABBREVIATED,"看下CS-2024-024",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-024,CS-2024-024,true
QUERY,ABBREVIATED,"看下EQ-2024-024",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-024,EQ-2024-024,true
QUERY,NOISY,"麻烦帮我查询一下设备EQ-2024-023目前的状态怎么样",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-023,EQ-2024-023,true
QUERY,NOISY,"我想了解一下设备EQ-2024-024的运行参数有没有异常",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-024,EQ-2024-024,true
QUERY,NOISY,"那个设备EQ-2024-025的维护记录能不能帮忙看看",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-025,EQ-2024-025,true
QUERY,NOISY,"帮我查查设备EQ-2024-021最近的故障记录了谢谢",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-021,EQ-2024-021,true
QUERY,NOISY,"你们那边能不能看到设备EQ-2024-022现在的温度读数",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-022,EQ-2024-022,true
QUERY,NOISY,"方便的时候帮我查一下设备EQ-2024-020是什么时候安装的",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-020,EQ-2024-020,true
QUERY,NOISY,"请帮我看一下设备EQ-2024-019目前是谁在负责管理的",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-019,EQ-2024-019,true
QUERY,NOISY,"那个设备EQ-2024-018的保养日志在哪里能找到",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-018,EQ-2024-018,true
QUERY,NOISY,"帮我查查设备EQ-2024-017已经运行了多长时间了",QUERY,QUERY,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-017,EQ-2024-017,true
QUERY,NOISY,"你好麻烦查询一下耗材CS-2024-017现在的库存还剩多少",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-017,CS-2024-017,true
QUERY,NOISY,"我想知道耗材CS-2024-018最近的使用记录情况",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-018,CS-2024-018,true
QUERY,NOISY,"帮忙看看耗材CS-2024-019的进货信息是在哪里记录的",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-019,CS-2024-019,true
QUERY,NOISY,"那个耗材CS-2024-020最近的消耗趋势帮我分析一下",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-020,CS-2024-020,true
QUERY,NOISY,"请问CS-2024-021这个耗材目前的库存数量还有多少",QUERY,STATISTICS,false,CONSUMABLE,CONSUMABLE,true,CS-2024-021,CS-2024-021,true
QUERY,NOISY,"麻烦查一下耗材CS-2024-022的规格参数明细",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-022,CS-2024-022,true
QUERY,NOISY,"那个耗材CS-2024-023的生产批次号能查到吗",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-023,CS-2024-023,true
QUERY,NOISY,"帮我看一眼耗材CS-2024-024是什么时候入库的",QUERY,QUERY,true,CONSUMABLE,CONSUMABLE,true,CS-2024-024,CS-2024-024,true
QUERY,NOISY,"可以帮我看一下巡检记录IN-2024-017的检查内容吗",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-017,IN-2024-017,true
QUERY,NOISY,"系统里的巡检记录IN-2024-018结果帮我调出来",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-018,IN-2024-018,true
QUERY,NOISY,"麻烦把巡检记录IN-2024-019的详细信息给我看看",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-019,IN-2024-019,true
QUERY,NOISY,"IN-2024-020那个巡检记录里都检查了哪些项目",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-020,IN-2024-020,true
QUERY,NOISY,"巡检记录IN-2024-021里面提到的问题清单发我一下",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-021,IN-2024-021,true
QUERY,NOISY,"对了巡检记录IN-2024-022的完成情况帮我也查一下",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-022,IN-2024-022,true
QUERY,NOISY,"巡检记录IN-2024-023里面有没有异常条目帮忙确认一下",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-023,IN-2024-023,true
QUERY,NOISY,"那个IN-2024-024的巡检签字信息在哪个页面能查到",QUERY,QUERY,true,INSPECTION,INSPECTION,true,IN-2024-024,IN-2024-024,true
CREATE,STANDARD,"新增设备EQ-2024-026到系统",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-026,EQ-2024-026,true
CREATE,STANDARD,"创建新设备EQ-2024-027的档案",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-027,EQ-2024-027,true
CREATE,STANDARD,"添加设备EQ-2024-028进入资产清单",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-028,EQ-2024-028,true
CREATE,STANDARD,"录入设备EQ-2024-029的基本信息",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-029,EQ-2024-029,true
CREATE,STANDARD,"注册设备EQ-2024-030的台账记录",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-030,EQ-2024-030,true
CREATE,STANDARD,"新增设备EQ-2024-031并填写参数",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-031,EQ-2024-031,true
CREATE,STANDARD,"创建设备EQ-2024-032的维护计划",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-032,EQ-2024-032,true
CREATE,STANDARD,"录入新到设备EQ-2024-033的资料",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-033,EQ-2024-033,true
CREATE,STANDARD,"添加设备EQ-2024-034到巡检计划中",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-034,EQ-2024-034,true
CREATE,STANDARD,"新增耗材CS-2024-026的入库单",CREATE,CREATE,true,CONSUMABLE,CONSUMABLE,true,CS-2024-026,CS-2024-026,true
CREATE,STANDARD,"创建耗材CS-2024-027的库存档案",CREATE,CREATE,true,CONSUMABLE,CONSUMABLE,true,CS-2024-027,CS-2024-027,true
CREATE,STANDARD,"添加耗材CS-2024-028到物料清单",CREATE,CREATE,true,CONSUMABLE,CONSUMABLE,true,CS-2024-028,CS-2024-028,true
CREATE,STANDARD,"录入耗材CS-2024-029的规格信息",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-029,CS-2024-029,true
CREATE,STANDARD,"注册耗材CS-2024-030的批次记录",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-030,CS-2024-030,true
CREATE,STANDARD,"新增耗材CS-2024-031的采购订单",CREATE,CREATE,true,CONSUMABLE,CONSUMABLE,true,CS-2024-031,CS-2024-031,true
CREATE,STANDARD,"创建耗材CS-2024-032的入库登记",CREATE,CREATE,true,CONSUMABLE,CONSUMABLE,true,CS-2024-032,CS-2024-032,true
CREATE,STANDARD,"录入耗材CS-2024-033的质检报告",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-033,CS-2024-033,true
CREATE,STANDARD,"创建巡检记录IN-2024-025",CREATE,CREATE,true,INSPECTION,INSPECTION,true,IN-2024-025,IN-2024-025,true
CREATE,STANDARD,"新增巡检记录IN-2024-026",CREATE,CREATE,true,INSPECTION,INSPECTION,true,IN-2024-026,IN-2024-026,true
CREATE,STANDARD,"添加巡检记录IN-2024-027",CREATE,CREATE,true,INSPECTION,INSPECTION,true,IN-2024-027,IN-2024-027,true
CREATE,STANDARD,"录入巡检记录IN-2024-028的结果",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-028,IN-2024-028,true
CREATE,STANDARD,"注册巡检记录IN-2024-029到系统",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-029,IN-2024-029,true
CREATE,STANDARD,"创建巡检记录IN-2024-030并填入检查项",CREATE,CREATE,true,INSPECTION,INSPECTION,true,IN-2024-030,IN-2024-030,true
CREATE,STANDARD,"新增巡检记录IN-2024-031的问题报告",CREATE,CREATE,true,INSPECTION,INSPECTION,true,IN-2024-031,IN-2024-031,true
CREATE,STANDARD,"录入巡检记录IN-2024-032的异常信息",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-032,IN-2024-032,true
CREATE,COLLOQUIAL,"加一台设备EQ-2024-035进去",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-035,EQ-2024-035,true
CREATE,COLLOQUIAL,"新来了个EQ-2024-036登记一下",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-036,EQ-2024-036,true
CREATE,COLLOQUIAL,"EQ-2024-037这个设备建个档案",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-037,EQ-2024-037,true
CREATE,COLLOQUIAL,"把EQ-2024-038录进资产清单里",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-038,EQ-2024-038,true
CREATE,COLLOQUIAL,"EQ-2024-039刚到货登记上",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-039,EQ-2024-039,true
CREATE,COLLOQUIAL,"这台EQ-2024-040参数填一下",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-040,EQ-2024-040,true
CREATE,COLLOQUIAL,"EQ-2024-041的维护计划要有",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-041,EQ-2024-041,true
CREATE,COLLOQUIAL,"补录一个设备EQ-2024-042",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-042,EQ-2024-042,true
CREATE,COLLOQUIAL,"EQ-2024-043新设备报到",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-043,EQ-2024-043,true
CREATE,COLLOQUIAL,"进了一批耗材CS-2024-034入库",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-034,CS-2024-034,true
CREATE,COLLOQUIAL,"CS-2024-035这个物料建档一下",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-035,CS-2024-035,true
CREATE,COLLOQUIAL,"加一个CS-2024-036到清单",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-036,CS-2024-036,true
CREATE,COLLOQUIAL,"CS-2024-037的规格补上",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-037,CS-2024-037,true
CREATE,COLLOQUIAL,"新耗材CS-2024-038登记入库",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-038,CS-2024-038,true
CREATE,COLLOQUIAL,"CS-2024-039采购到了先登记",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-039,CS-2024-039,true
CREATE,COLLOQUIAL,"CS-2024-040物料来了录入系统",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-040,CS-2024-040,true
CREATE,COLLOQUIAL,"把CS-2024-041质检登进去",CREATE,QUERY,false,CONSUMABLE,CONSUMABLE,true,CS-2024-041,CS-2024-041,true
CREATE,COLLOQUIAL,"IN-2024-033巡检完了写进去",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-033,IN-2024-033,true
CREATE,COLLOQUIAL,"建一条巡检记录IN-2024-034",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-034,IN-2024-034,true
CREATE,COLLOQUIAL,"IN-2024-035的结果记上",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-035,IN-2024-035,true
CREATE,COLLOQUIAL,"这次巡检IN-2024-036录入一下",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-036,IN-2024-036,true
CREATE,COLLOQUIAL,"IN-2024-037的记录要补上",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-037,IN-2024-037,true
CREATE,COLLOQUIAL,"IN-2024-038检查项填进去",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-038,IN-2024-038,true
CREATE,COLLOQUIAL,"IN-2024-039出问题了记得写报告",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-039,IN-2024-039,true
CREATE,COLLOQUIAL,"IN-2024-040异常登记一下",CREATE,QUERY,false,INSPECTION,INSPECTION,true,IN-2024-040,IN-2024-040,true
CREATE,ABBREVIATED,"新增EQ-2024-044",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-044,EQ-2024-044,true
CREATE,ABBREVIATED,"添加EQ-2024-045",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-045,EQ-2024-045,true
CREATE,ABBREVIATED,"录入EQ-2024-046",CREATE,QUERY,false,EQUIPMENT,EQUIPMENT,true,EQ-2024-046,EQ-2024-046,true
CREATE,ABBREVIATED,"创建EQ-2024-047",CREATE,CREATE,true,EQUIPMENT,EQUIPMENT,true,EQ-2024-047,EQ-2024-047,true
