===== 实验四：DeepSeek V4 Flash vs 规则引擎基线对比 =====

--- 4.1 规则引擎 vs DeepSeek 准确率对比 ---
类别,样本数,规则意图(%),LLM意图(%),规则类型(%),LLM类型(%),规则ID(%),LLM ID(%),规则综合(%),LLM综合(%)
QUERY,COLLOQUIAL,"查一下IN-2024-001的巡检情况",QUERY,QUERY,INSPECTION,INSPECTION,[IN-2024-001],[IN-2024-001],656
QUERY,COLLOQUIAL,"EQ-2024-005的设备状态是什么",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-005],[EQ-2024-005],709
QUERY,COLLOQUIAL,"CS-2024-010用了多少了",QUERY,QUERY,CONSUMABLE,CONSUMABLE,[CS-2024-010],[CS-2024-010],678
QUERY,ABBREVIATED,"查询EQ-2024-001",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-001],[EQ-2024-001],792
QUERY,ABBREVIATED,"CS-2024-002状态",QUERY,QUERY,CONSUMABLE,EQUIPMENT,[CS-2024-002],[CS-2024-002],775
QUERY,ABBREVIATED,"IN-2024-001详情",QUERY,QUERY,INSPECTION,INSPECTION,[IN-2024-001],[IN-2024-001],851
QUERY,ABBREVIATED,"查询EQ-2024-005",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-005],[EQ-2024-005],945
QUERY,ABBREVIATED,"获取CS-2024-010库存",QUERY,QUERY,CONSUMABLE,EQUIPMENT,[CS-2024-010],[CS-2024-010],972
QUERY,NOISY,"麻烦帮忙查询一下设备EQ-2024-001的当前状态信息怎么样",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-001],[EQ-2024-001],874
QUERY,NOISY,"那个耗材CS-2024-002的库存还有多少帮我看看",QUERY,QUERY,CONSUMABLE,CONSUMABLE,[CS-2024-002],[CS-2024-002],1060
QUERY,NOISY,"就是那个巡检记录IN-2024-001查一下",QUERY,QUERY,INSPECTION,INSPECTION,[IN-2024-001],[IN-2024-001],652
QUERY,NOISY,"设备编号EQ-2024-005的维护情况麻烦查查",QUERY,QUERY,EQUIPMENT,EQUIPMENT,[EQ-2024-005],[EQ-2024-005],757
QUERY,NOISY,"嗯关于耗材CS-2024-010的使用记录能查一下吗",QUERY,QUERY,CONSUMABLE,CONSUMABLE,[CS-2024-010],[CS-2024-010],917
CREATE,STANDARD,"新增耗材CS-2024-005",CREATE,CREATE,CONSUMABLE,CONSUMABLE,[CS-2024-005],[CS-2024-005],959
CREATE,STANDARD,"新增设备EQ-2024-010",CREATE,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-010],[EQ-2024-010],679
CREATE,STANDARD,"创建巡检记录IN-2024-015",CREATE,CREATE,INSPECTION,INSPECTION,[IN-2024-015],[IN-2024-015],667
CREATE,STANDARD,"新增耗材CS-2024-020",CREATE,CREATE,CONSUMABLE,CONSUMABLE,[CS-2024-020],[CS-2024-020],955
CREATE,STANDARD,"创建设备EQ-2024-030",CREATE,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-030],[EQ-2024-030],923
CREATE,COLLOQUIAL,"加一个CS-2024-005的耗材",QUERY,CREATE,CONSUMABLE,CONSUMABLE,[CS-2024-005],[CS-2024-005],664
CREATE,COLLOQUIAL,"新来了一台设备EQ-2024-010登记一下",QUERY,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-010],[EQ-2024-010],693
CREATE,COLLOQUIAL,"建一个巡检记录IN-2024-015",QUERY,CREATE,INSPECTION,INSPECTION,[IN-2024-015],[IN-2024-015],651
CREATE,COLLOQUIAL,"补一个耗材CS-2024-020的信息",QUERY,CREATE,CONSUMABLE,CONSUMABLE,[CS-2024-020],[CS-2024-020],665
CREATE,COLLOQUIAL,"登记新设备EQ-2024-030",QUERY,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-030],[EQ-2024-030],1120
CREATE,ABBREVIATED,"新增CS-2024-005",CREATE,CREATE,CONSUMABLE,EQUIPMENT,[CS-2024-005],[CS-2024-005],940
CREATE,ABBREVIATED,"添加EQ-2024-010",CREATE,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-010],[EQ-2024-010],759
CREATE,ABBREVIATED,"创建IN-2024-015",CREATE,CREATE,INSPECTION,INSPECTION,[IN-2024-015],[IN-2024-015],1468
CREATE,ABBREVIATED,"新建CS-2024-020",QUERY,CREATE,CONSUMABLE,EQUIPMENT,[CS-2024-020],[CS-2024-020],710
CREATE,ABBREVIATED,"添加EQ-2024-030",CREATE,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-030],[EQ-2024-030],733
CREATE,NOISY,"我们需要新增一个耗材编号CS-2024-005麻烦登记一下",CREATE,CREATE,CONSUMABLE,CONSUMABLE,[CS-2024-005],[CS-2024-005],993
CREATE,NOISY,"新到了一台设备EQ-2024-010请帮忙在系统里创建",CREATE,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-010],[EQ-2024-010],973
CREATE,NOISY,"巡检完成需要创建记录IN-2024-015记录一下",CREATE,CREATE,INSPECTION,INSPECTION,[IN-2024-015],[IN-2024-015],903
CREATE,NOISY,"麻烦把耗材CS-2024-020录入到系统里",QUERY,CREATE,CONSUMABLE,CONSUMABLE,[CS-2024-020],[CS-2024-020],836
CREATE,NOISY,"新设备EQ-2024-030需要创建档案",CREATE,CREATE,EQUIPMENT,EQUIPMENT,[EQ-2024-030],[EQ-2024-030],1018
UPDATE,STANDARD,"修改设备EQ-2024-003的维护周期",UPDATE,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-003],[EQ-2024-003],600
UPDATE,STANDARD,"更新耗材CS-2024-008的库存数量",UPDATE,UPDATE,CONSUMABLE,CONSUMABLE,[CS-2024-008],[CS-2024-008],964
UPDATE,STANDARD,"修改巡检记录IN-2024-012的状态",UPDATE,UPDATE,INSPECTION,INSPECTION,[IN-2024-012],[IN-2024-012],775
UPDATE,STANDARD,"更新设备EQ-2024-025的使用状态",UPDATE,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-025],[EQ-2024-025],880
UPDATE,STANDARD,"修改耗材CS-2024-015的规格参数",UPDATE,UPDATE,CONSUMABLE,CONSUMABLE,[CS-2024-015],[CS-2024-015],1059
UPDATE,COLLOQUIAL,"把EQ-2024-003的维护周期改一下",QUERY,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-003],[EQ-2024-003],1023
UPDATE,COLLOQUIAL,"CS-2024-008库存数据要更新了",UPDATE,UPDATE,CONSUMABLE,EQUIPMENT,[CS-2024-008],[CS-2024-008],700
UPDATE,COLLOQUIAL,"IN-2024-012的记录状态改一下",QUERY,UPDATE,INSPECTION,INSPECTION,[IN-2024-012],[IN-2024-012],755
UPDATE,COLLOQUIAL,"EQ-2024-025这设备不是闲置了变更状态",UPDATE,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-025],[EQ-2024-025],659
UPDATE,COLLOQUIAL,"CS-2024-015的规格变了",QUERY,UPDATE,CONSUMABLE,EQUIPMENT,[CS-2024-015],[CS-2024-015],715
UPDATE,ABBREVIATED,"修改EQ-2024-003周期",UPDATE,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-003],[EQ-2024-003],828
UPDATE,ABBREVIATED,"更新CS-2024-008库存",UPDATE,UPDATE,CONSUMABLE,EQUIPMENT,[CS-2024-008],[CS-2024-008],681
UPDATE,ABBREVIATED,"修改IN-2024-012",UPDATE,UPDATE,INSPECTION,INSPECTION,[IN-2024-012],[IN-2024-012],676
UPDATE,ABBREVIATED,"更新EQ-2024-025状态",UPDATE,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-025],[EQ-2024-025],693
UPDATE,ABBREVIATED,"编辑CS-2024-015参数",UPDATE,UPDATE,CONSUMABLE,EQUIPMENT,[CS-2024-015],[CS-2024-015],1235
UPDATE,NOISY,"需要把设备EQ-2024-003的维护周期调整一下改为每月一次",QUERY,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-003],[EQ-2024-003],941
UPDATE,NOISY,"耗材CS-2024-008的库存数量好像不对需要更新一下",UPDATE,UPDATE,CONSUMABLE,CONSUMABLE,[CS-2024-008],[CS-2024-008],748
UPDATE,NOISY,"巡检记录IN-2024-012的状态需要修改为已完成",UPDATE,UPDATE,INSPECTION,INSPECTION,[IN-2024-012],[IN-2024-012],720
UPDATE,NOISY,"那个设备EQ-2024-025的状态麻烦更新一下改成维修中",UPDATE,UPDATE,EQUIPMENT,EQUIPMENT,[EQ-2024-025],[EQ-2024-025],798
UPDATE,NOISY,"耗材编号CS-2024-015的规格参数需要更新一下谢谢",UPDATE,UPDATE,CONSUMABLE,CONSUMABLE,[CS-2024-015],[CS-2024-015],664
DELETE,STANDARD,"删除巡检记录IN-2024-010",DELETE,DELETE,INSPECTION,INSPECTION,[IN-2024-010],[IN-2024-010],800
DELETE,STANDARD,"删除耗材CS-2024-099",DELETE,DELETE,CONSUMABLE,CONSUMABLE,[CS-2024-099],[CS-2024-099],864
DELETE,STANDARD,"删除设备EQ-2024-088",DELETE,DELETE,EQUIPMENT,EQUIPMENT,[EQ-2024-088],[EQ-2024-088],887
DELETE,STANDARD,"删除巡检记录IN-2024-050",DELETE,DELETE,INSPECTION,INSPECTION,[IN-2024-050],[IN-2024-050],912
DELETE,STANDARD,"删除耗材CS-2024-077",DELETE,DELETE,CONSUMABLE,CONSUMABLE,[CS-2024-077],[CS-2024-077],790
DELETE,COLLOQUIAL,"把IN-2024-010这条记录删了",QUERY,DELETE,INSPECTION,INSPECTION,[IN-2024-010],[IN-2024-010],837
DELETE,COLLOQUIAL,"CS-2024-099不需要了删掉",QUERY,DELETE,CONSUMABLE,EQUIPMENT,[CS-2024-099],[CS-2024-099],666
DELETE,COLLOQUIAL,"EQ-2024-088报废了移除",DELETE,DELETE,EQUIPMENT,EQUIPMENT,[EQ-2024-088],[EQ-2024-088],695
DELETE,COLLOQUIAL,"IN-2024-050这条巡检记录作废",QUERY,DELETE,INSPECTION,INSPECTION,[IN-2024-050],[IN-2024-050],1020
DELETE,COLLOQUIAL,"CS-2024-077这个耗材登记错了删除",DELETE,DELETE,CONSUMABLE,CONSUMABLE,[CS-2024-077],[CS-2024-077],828
DELETE,ABBREVIATED,"删除IN-2024-010",DELETE,DELETE,INSPECTION,INSPECTION,[IN-2024-010],[IN-2024-010],956
DELETE,ABBREVIATED,"移除CS-2024-099",DELETE,DELETE,CONSUMABLE,EQUIPMENT,[CS-2024-099],[CS-2024-099],671
DELETE,ABBREVIATED,"删除EQ-2024-088",DELETE,DELETE,EQUIPMENT,EQUIPMENT,[EQ-2024-088],[EQ-2024-088],926
DELETE,ABBREVIATED,"删除IN-2024-050",DELETE,DELETE,INSPECTION,INSPECTION,[IN-2024-050],[IN-2024-050],850
DELETE,ABBREVIATED,"移除CS-2024-077",DELETE,DELETE,CONSUMABLE,EQUIPMENT,[CS-2024-077],[CS-2024-077],11898
DELETE,NOISY,"巡检记录IN-2024-010数据有误需要删除重新录入",DELETE,DELETE,INSPECTION,INSPECTION,[IN-2024-010],[IN-2024-010],752
DELETE,NOISY,"耗材CS-2024-099已经过期了请帮忙删除掉",DELETE,DELETE,CONSUMABLE,CONSUMABLE,[CS-2024-099],[CS-2024-099],577
DELETE,NOISY,"设备EQ-2024-088已经报废了麻烦移除相关记录",DELETE,DELETE,EQUIPMENT,EQUIPMENT,[EQ-2024-088],[EQ-2024-088],961
DELETE,NOISY,"那个旧的巡检记录IN-2024-050没有用了可以删掉",QUERY,DELETE,INSPECTION,INSPECTION,[IN-2024-050],[IN-2024-050],637
DELETE,NOISY,"不好意思CS-2024-077录入重复了请删除",DELETE,DELETE,CONSUMABLE,EQUIPMENT,[CS-2024-077],[CS-2024-077],720
STATISTICS,STANDARD,"统计本月耗材消耗数量",STATISTICS,STATISTICS,CONSUMABLE,CONSUMABLE,[],[],627
STATISTICS,STANDARD,"统计本季度设备故障次数",STATISTICS,STATISTICS,EQUIPMENT,EQUIPMENT,[],[],688
STATISTICS,STANDARD,"统计本月巡检完成率",STATISTICS,STATISTICS,INSPECTION,INSPECTION,[],[],883
STATISTICS,STANDARD,"统计耗材CS-2024-001的总消耗",STATISTICS,STATISTICS,CONSUMABLE,CONSUMABLE,[CS-2024-001],[CS-2024-001],925
STATISTICS,STANDARD,"统计设备EQ-2024-005的巡检次数",STATISTICS,STATISTICS,EQUIPMENT,EQUIPMENT,[EQ-2024-005],[EQ-2024-005],964
STATISTICS,COLLOQUIAL,"帮我看看这个月用了多少耗材",QUERY,STATISTICS,CONSUMABLE,CONSUMABLE,[],[],969
STATISTICS,COLLOQUIAL,"这季度设备坏了多少次统计一下",STATISTICS,STATISTICS,EQUIPMENT,EQUIPMENT,[],[],779
STATISTICS,COLLOQUIAL,"本月巡检完成了多少统计一下",STATISTICS,STATISTICS,INSPECTION,INSPECTION,[],[],845
STATISTICS,COLLOQUIAL,"CS-2024-001一共用了多少",STATISTICS,STATISTICS,CONSUMABLE,EQUIPMENT,[CS-2024-001],[CS-2024-001],860
STATISTICS,COLLOQUIAL,"EQ-2024-005巡检过几次",QUERY,QUERY,EQUIPMENT,INSPECTION,[EQ-2024-005],[EQ-2024-005],1012
STATISTICS,ABBREVIATED,"统计本月耗材",STATISTICS,STATISTICS,CONSUMABLE,CONSUMABLE,[],[],1128
STATISTICS,ABBREVIATED,"汇总设备故障",STATISTICS,STATISTICS,EQUIPMENT,EQUIPMENT,[],[],977
STATISTICS,ABBREVIATED,"统计巡检完成",STATISTICS,STATISTICS,INSPECTION,INSPECTION,[],[],775
STATISTICS,ABBREVIATED,"耗材消耗数量统计",STATISTICS,STATISTICS,CONSUMABLE,CONSUMABLE,[],[],749
STATISTICS,ABBREVIATED,"设备巡检统计",STATISTICS,STATISTICS,EQUIPMENT,INSPECTION,[],[],709
STATISTICS,NOISY,"麻烦帮我统计一下这个月大概消耗了多少耗材",STATISTICS,STATISTICS,CONSUMABLE,CONSUMABLE,[],[],770
STATISTICS,NOISY,"我想了解一下本季度设备故障的次数大概是多少",QUERY,STATISTICS,EQUIPMENT,EQUIPMENT,[],[],651
STATISTICS,NOISY,"帮我汇总一下本月巡检记录的完成情况吧",STATISTICS,STATISTICS,INSPECTION,INSPECTION,[],[],670
STATISTICS,NOISY,"查询一下耗材CS-2024-001总的消耗情况统计一下",QUERY,QUERY,CONSUMABLE,NULL,[CS-2024-001],[],603691
STATISTICS,NOISY,"统计一下设备EQ-2024-005历史巡检的次数有多少",STATISTICS,STATISTICS,EQUIPMENT,EQUIPMENT,[EQ-2024-005],[EQ-2024-005],12155
